CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2023;Escuela Universitaria de Ingeniería Técnica Industrial;6-Ingeniero Técnico en Diseño Industrial;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;15/09/2024
2023;Facultad de Ciencias;2-Biología Molecular y Celular;Máster;28;26;30;15;0;0;0;0;;0;1632.00;0.00;1.07;100.00;99.52;96.20;0.00;53.85;15/09/2024
2023;Facultad de Ciencias;2-Física y Tecnologías Físicas;Máster;7;6;30;4;0;0;0;1;4;0;403.00;10.00;1.00;100.00;97.13;97.96;0.00;66.67;15/09/2024
2023;Facultad de Filosofía y Letras;2-Gestión del Patrimonio Cultural;Máster;39;30;35;11;0;0;0;1;;0;1976.00;12.00;1.50;96.69;93.59;88.24;0.00;17.24;15/09/2024
2023;Facultad de Filosofía y Letras;2-Tec.Información Geográfica para Ordenación Territorio: Sig/Teled;Máster;33;23;25;6;0;0;0;0;;0;1558.50;0.00;1.33;99.83;91.54;90.95;0.00;19.05;15/09/2024
2023;Facultad de Ciencias de la Salud;2-Gerontología Social;Máster;42;35;36;18;0;0;0;0;;0;2184.00;0.00;1.17;100.00;97.92;97.83;0.00;42.86;15/09/2024
2023;Facultad de Ciencias Sociales y del Trabajo;2-Relaciones de Género;Máster;23;16;30;4;0;0;0;1;1;0;990.00;30.00;1.25;97.62;93.89;95.24;0.00;21.43;15/09/2024
2023;Facultad de Economía y Empresa;2-Contabilidad y Finanzas;Máster;28;17;27;6;0;0;0;0;3;0;1176.00;0.00;1.40;98.13;83.33;93.75;0.00;17.65;15/09/2024
2023;Facultad de Economía y Empresa;2-Economía;Máster;24;15;30;0;0;0;0;0;2;0;1035.00;0.00;;96.17;58.67;;0.00;0.00;15/09/2024
2023;Facultad de Medicina;2-Iniciación a la investigación en Medicina;Máster;51;48;60;30;0;0;0;42;;0;2693.00;210.00;1.03;100.00;99.16;99.04;0.00;60.42;15/09/2024
2023;Escuela de Ingeniería y Arquitectura;2-Ingeniería biomédica;Máster;3;0;;2;0;0;0;0;;0;45.00;0.00;7.00;100.00;100.00;60.98;;;15/09/2024
2023;Facultad de Empresa y Gestión Pública;2-Dirección y planificación del turismo;Máster;20;11;30;3;0;0;0;0;8;0;750.00;0.00;2.33;100.00;98.51;83.78;0.00;9.09;15/09/2024
2023;Facultad de Ciencias;4-Movilidad para máster;Movilidad de entrada;14;0;;;0;0;;0;3;0;354.00;0.00;;;;;;;15/09/2024
2023;Facultad de Filosofía y Letras;4-Movilidad para máster;Movilidad de entrada;3;0;;;0;0;;0;;0;63.00;0.00;;;;;;;15/09/2024
2023;Facultad de Medicina;4-Movilidad para máster;Movilidad de entrada;1;0;;;0;0;;0;;0;30.00;0.00;;;;;;;15/09/2024
2023;Facultad de Educación;4-Movilidad para máster;Movilidad de entrada;1;0;;;0;0;;0;;0;35.00;0.00;;;;;;;15/09/2024
2023;Facultad de Ciencias Sociales y del Trabajo;4-Movilidad para máster;Movilidad de entrada;6;0;;;0;0;;0;;0;169.00;0.00;;;;;;;15/09/2024
2023;Facultad de Economía y Empresa;4-Movilidad para máster;Movilidad de entrada;2;0;;;0;0;;0;;0;41.00;0.00;;;;;;;15/09/2024
2023;Escuela de Ingeniería y Arquitectura;4-Movilidad para máster;Movilidad de entrada;35;0;;;0;0;;0;;0;984.50;0.00;;;;;;;15/09/2024
2023;Escuela Politécnica Superior;4-Movilidad para máster;Movilidad de entrada;1;0;;;0;0;;0;;0;12.00;0.00;;;;;;;15/09/2024
2023;Facultad de Empresa y Gestión Pública;4-Movilidad para máster;Movilidad de entrada;6;0;;;0;0;;0;;0;306.00;0.00;;;;;;;15/09/2024
2023;Facultad de Ciencias;2-Materiales nanoestructurados para aplicaciones nanotecnológicas;Máster;12;12;25;5;0;0;0;0;2;0;706.00;0.00;1.00;97.24;96.30;100.00;0.00;41.67;15/09/2024
2023;Facultad de Economía y Empresa;2-Sociología de las Políticas Públicas y Sociales;Máster;22;15;25;2;0;0;0;0;1;0;982.00;0.00;1.50;100.00;83.07;90.91;0.00;7.14;15/09/2024
2023;Facultad de Educación;2-Aprendizaje a lo largo de la vida: Iniciación a la investigación;Máster;35;22;40;7;0;0;0;11;;0;1350.00;93.00;1.67;99.23;85.16;73.80;0.00;30.77;15/09/2024
